Word	Joy	Anger	Sadness	Fear	Disgust
aardvark	2.827600002	1.220700026	1.338000059	1.268100023	1.120000005
abalone	1.698799968	1.252300024	1.244600058	1.265599966	1.253399968
abandon	1.159700036	2.247999907	2.816400051	2.261399984	2.04399991
abandonment	1.208999991	2.583800077	2.978899956	2.751300097	2.170900106
abbey	2.189100027	1.192700028	1.204699993	1.243399978	1.180899978
abdomen	1.96510005	1.297700047	1.299600005	1.315999985	1.288100004
abdominal	1.526800036	1.376600027	1.335899949	1.311699986	1.578799963
abduct	1.16869998	2.719899893	3.121900082	3.16869998	2.300199986
abduction	1.131600022	2.801100016	3.365200043	2.931400061	2.377099991
abide	1.931599975	1.259699941	1.256899953	1.273300052	1.25849998
abiding	1.824599981	1.285400033	1.218700051	1.281999946	1.252500057
ability	3.440000057	1.280400038	1.28489995	1.351899981	1.212499976
abject	1.444599986	1.83829999	1.828400016	1.834200025	1.907699943
ablaze	1.850900054	1.836099982	1.495599985	2.671200037	1.483899951
able	3.345799923	1.205500007	1.254099965	1.249899983	1.175300002
abnormal	1.286599994	2.268399954	1.929200053	1.878100038	2.697700024
abnormality	1.163200021	2.57159996	2.520400047	2.594799995	2.415600061
abode	1.689499974	1.264099956	1.254299998	1.272199988	1.265799999
abolish	1.360100031	2.038000107	1.827700019	1.786800027	2.273400068
abominable	1.358100057	2.555700064	2.089799881	2.774600029	2.1954
abomination	1.16929996	2.869299889	2.798099995	2.896300077	2.360399961
abort	1.235999942	2.645499945	2.613199949	2.907399893	2.187099934
abortion	1.181300044	2.777100086	2.419500113	2.346100092	2.797499895
abracadabra	1.886000037	1.739199996	1.670300007	2.040400028	1.612599969
abrasive	1.442000031	2.654099941	2.091500044	3.026299953	2.036799908
abreast	1.592300057	1.800400019	1.520900011	1.783499956	1.748700023
abrupt	1.190299988	2.719799995	2.45810008	2.796999931	2.295300007
abscess	1.158599973	2.225899935	2.412800074	2.104799986	2.875799894
absence	1.353899956	2.150000095	2.033900023	2.024100065	2.157700062
absent	1.502799988	1.67750001	1.80309999	1.696099997	1.614899993
absinthe	1.327499986	1.9454	2.486099958	2.002899885	1.762300014
absolute	1.806200027	1.276299953	1.259500027	1.281900048	1.273300052
absolution	3.420200109	1.203999996	1.263299942	1.251399994	1.172600031
absolve	1.576099992	1.426399946	1.446200013	1.385900021	1.43900001
absorb	2.146300077	1.394799948	1.330899954	1.432600021	1.323699951
abstain	1.495300055	1.278699994	1.119699955	1.189800024	1.668300033
abstinence	1.353000045	1.452900052	0.862399995	1.019400001	3.255000114
abstract	1.730399966	1.361400008	1.305999994	1.362699986	1.317499995
absurd	1.549000025	1.52639997	1.411000013	1.47329998	1.643300056
absurdity	1.451200008	2.031599998	1.474300027	1.577900052	2.217999935
abundance	3.306900024	1.302800059	1.335700035	1.368999958	1.246000051
abundant	3.908400059	1.195700049	1.28579998	1.26789999	1.157099962
abuse	1.061400056	3.315999985	3.707400084	3.401299953	2.858299971
abusive	1.152199984	2.638200045	3.109200001	2.873899937	2.618700027
abysmal	1.277099967	2.112999916	2.537400007	2.108799934	1.824100018
abyss	1.372799993	2.264199972	2.060800076	2.480000019	2.208300114
academic	3.238800049	1.203299999	1.246500015	1.246700048	1.175300002
academy	1.779700041	1.324000001	1.293300033	1.331599951	1.300400019
accelerant	1.568400025	1.801499963	1.189200044	1.399299979	1.992900014
accelerate	2.622800112	1.548599958	1.430199981	1.824399948	1.427000046
accelerated	2.890799999	1.407999992	1.326599956	1.476600051	1.296700001
acceleration	2.473599911	1.65139997	1.442700028	2.101599932	1.446699977
accelerator	2.333499908	1.510400057	1.301499963	1.577299953	1.371299982
accent	3.138200045	1.351799965	1.375	1.422199965	1.286499977
accept	2.770800114	1.183799982	1.209200025	1.234799981	1.163599968
acceptable	3.113600016	1.223999977	1.248700023	1.256299973	1.195899963
acceptance	3.399699926	1.251899958	1.272400022	1.294800043	1.200899959
access	3.124300003	1.449200034	1.31159997	1.567499995	1.290099978
accessible	3.026900053	1.198699951	1.228099942	1.241299987	1.176399946
accessory	1.842200041	1.389000058	1.304700017	1.390599966	1.317899942
accident	1.189499974	2.657999992	2.993400097	2.6868999	2.288899899
accidental	1.363100052	1.974499941	2.386800051	2.102699995	1.661900043
acclaim	2.945800066	1.282799959	1.307100058	1.299700022	1.25030005
accommodate	2.604199886	1.195299983	1.20599997	1.235499978	1.179200053
accommodation	3.338000059	1.286200047	1.31280005	1.355100036	1.228800058
accompany	1.93719995	1.323699951	1.285599947	1.329200029	1.291100025
accomplice	1.587299943	1.729300022	1.481999993	1.67050004	1.712200046
accomplish	3.64560008	1.314900041	1.279899955	1.4023	1.2148
accomplishment	4.163899899	1.211899996	1.295699954	1.297099948	1.161999941
accord	2.9927001	1.187700033	1.229200006	1.239500046	1.162999988
accordion	1.664899945	1.267699957	1.254400015	1.269500017	1.270200014
account	1.940099955	1.311300039	1.313799977	1.331500053	1.298200011
accountability	1.574000001	1.282500029	1.099699974	1.236700058	1.539999962
accountable	2.432699919	1.363899946	1.334200025	1.394500017	1.303500056
accountant	1.671800017	1.333600044	1.277999997	1.329200029	1.302800059
accounting	1.575000048	1.508000016	1.542500019	1.487100005	1.477599978
accumulate	2.523400068	1.185600042	1.194900036	1.23119998	1.16929996
accuracy	2.459800005	1.212000012	1.204900026	1.241299987	1.197900057
accurate	3.773900032	1.194900036	1.264700055	1.261399984	1.161000013
accursed	1.185400009	2.703099966	2.444700003	2.773999929	2.269000053
accusation	1.241799951	2.61529994	2.419399977	2.784499884	2.16960001
accuse	1.1602	2.585400105	2.733400106	2.698400021	2.767299891
ace	2.955899954	1.382799983	1.295600057	1.441900015	1.273499966
acetylene	1.479300022	1.557399988	1.551599979	1.478600025	1.850200057
ache	1.224699974	2.261699915	2.201100111	2.101200104	2.584700108
achieve	3.941400051	1.203600049	1.276200056	1.280599952	1.162400007
achievement	3.525500059	1.358100057	1.288800001	1.491600037	1.238600016
achy	1.232900023	2.33920002	1.954699993	1.886299968	3.040199995
acid	1.211899996	2.344799995	2.141400099	2.12319994	2.829999924
acknowledge	2.986700058	1.20599997	1.237800002	1.243899941	1.182800055
acknowledgement	2.758300066	1.205299973	1.216300011	1.241999984	1.187899947
acne	1.131100059	2.42689991	3.326299906	2.766400099	2.584100008
acorn	2.44630003	1.393300056	1.442700028	1.503499985	1.330299973
acoustic	3.642800093	1.200999975	1.273000002	1.261899948	1.166599989
acoustics	2.957799911	1.20720005	1.241999984	1.245499969	1.184599996
acquaintance	2.044800043	1.254600048	1.258399963	1.271100044	1.251999974
acquire	2.049000025	1.454900026	1.200099945	1.440700054	1.445199966
acquisition	1.658800006	1.434800029	1.278100014	1.416700006	1.45389998
acquit	2.211999893	1.440700054	1.373399973	1.516700029	1.350000024
acquittal	2.74819994	1.404299974	1.460199952	1.524299979	1.329100013
acre	1.965000033	1.233399987	1.238800049	1.262500048	1.229900002
acreage	1.708500028	1.323400021	1.283800006	1.325000048	1.300400019
acrobat	2.612200022	1.383900046	1.380900025	1.461699963	1.318500042
acrylic	2.037800074	1.300999999	1.290899992	1.312399983	1.283900023
act	2.190099955	1.359699965	1.288200021	1.358299971	1.291800022
action	2.512000084	1.596899986	1.452399969	1.900200009	1.465199947
action figure	2.830300093	1.393700004	1.289299965	1.449399948	1.281499982
activate	2.075700045	1.301200032	1.248100042	1.300600052	1.262199998
activation	2.261699915	1.252599955	1.208099961	1.269199967	1.217700005
active	3.091300011	1.415899992	1.351699948	1.573400021	1.309999943
activist	2.874799967	1.397500038	1.369099975	1.507699966	1.312899947
activity	2.866600037	1.426599979	1.322399974	1.503600001	1.302299976
actor	2.932800055	1.325700045	1.337000012	1.367499948	1.270900011
actress	1.940299988	1.720000029	1.73360002	2.246200085	1.549700022
actual	2.735699892	1.18840003	1.220000029	1.238299966	1.170099974
actuality	2.041500092	1.688799977	1.614799976	1.989400029	1.573899984
acupuncture	1.695199966	1.782199979	1.692100048	2.034800053	1.652699947
acute	1.805299997	1.763100028	1.623200059	2.003400087	1.60769999
ad	1.460299969	1.413300037	1.35769999	1.294100046	1.820799947
adage	2.085299969	1.268700004	1.278399944	1.288400054	1.262699962
adamant	2.09559989	1.858500004	1.444100022	1.992799997	1.585299969
adapt	2.588500023	1.313699961	1.307899952	1.317600012	1.273900032
adaptation	2.227600098	1.263399959	1.247900009	1.271499991	1.247200012
add	2.595999956	1.3046	1.244400024	1.312700033	1.236700058
adder	1.554999948	1.479400039	1.570199966	1.414899945	1.462800026
addict	1.263800025	2.443799973	2.747400045	2.853800058	2.023799896
addicted	1.258999944	2.440299988	2.677000046	2.540699959	2.075900078
addiction	1.281399965	2.288599968	2.196099997	2.18930006	2.279999971
addictive	1.279500008	2.346299887	2.097800016	2.097800016	2.423899889
additional	3.047199965	1.260200024	1.311499953	1.308599949	1.227200031
address	3.091700077	1.219099998	1.27699995	1.26789999	1.192600012
